wmc,dit,lcom,ca,ce,npm,mfa,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6,1,15,2,2,6,0.0,False,False,0.3803796986988373,True,0.9,True,0.6385228369051823,Voting,Voting,False,0.3803796986988373
9,1,28,5,0,9,0.0,False,False,0.3405090619292843,False,0.1,False,0.17585705991996614,Voting,Voting,False,0.3405090619292843
9,1,28,7,0,9,0.0,False,False,0.018422966400874485,False,0.0,False,0.032306844494077475,Voting,Voting,False,0.018422966400874485
3,1,1,0,7,3,0.0,True,False,0.20678683765213146,False,0.2,False,0.3477082543097116,Voting,Voting,False,0.20678683765213146
6,8,3,0,11,5,0.955357143,True,True,0.9997703372588299,True,1.0,True,0.9454842925459024,Voting,Voting,True,0.9997703372588299
9,1,0,0,5,9,0.0,False,True,0.5685509805662371,False,0.3,True,0.7518368811274377,RandomForest,RandomForest,False,0.3
6,8,3,0,8,6,0.955357143,True,True,0.9995570762065858,True,1.0,True,0.9514727502926128,Voting,Voting,True,0.9995570762065858
5,8,4,0,10,4,0.963963964,True,True,0.9997668964864522,True,1.0,True,0.9230300269927988,Voting,Voting,True,0.9997668964864522
7,1,21,7,3,7,0.0,False,False,0.19799818338584627,False,0.5,False,0.3876888212768984,Voting,Voting,False,0.19799818338584627
24,1,258,8,3,24,0.0,False,False,4.0682713492720014e-19,False,0.2,False,0.03009426099768585,Voting,Voting,False,4.0682713492720014e-19
7,4,19,0,12,7,0.7142857140000001,True,False,0.3578681046051952,False,0.4,True,0.6445320771176174,AdaBoost,AdaBoost,True,0.6445320771176174
17,1,120,7,0,17,0.0,False,False,1.3549773929368774e-09,False,0.0,False,0.047233780890791936,Voting,Voting,False,1.3549773929368774e-09
3,1,3,0,3,3,0.0,False,True,0.5151169685453134,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.5151169685453134
5,1,6,5,0,5,0.0,True,False,0.4567473646880833,False,0.3666666666666665,False,0.3768799148318767,Voting,Voting,False,0.4567473646880833
7,8,9,0,11,7,0.946902655,True,True,0.9990857559696243,True,0.9,True,0.9598771777331644,Voting,Voting,True,0.9990857559696243
13,1,66,6,0,13,0.0,False,False,9.890101504018246e-06,False,0.1,False,0.10920614377442722,Voting,Voting,False,9.890101504018246e-06
4,1,0,0,7,4,0.0,False,True,0.6401503579025961,True,1.0,True,0.8718247300339844,Voting,Voting,True,0.6401503579025961
2,1,1,0,4,2,0.0,False,True,0.5827718080429172,False,0.4416666666666666,True,0.5968549421824351,RandomForest,RandomForest,False,0.4416666666666666
4,8,0,0,13,4,0.972727273,True,True,0.9999332268223684,True,0.9,True,0.8104131070451867,Voting,Voting,True,0.9999332268223684
4,4,6,0,11,4,0.833333333,True,True,0.9893910431988774,True,0.9333333333333332,True,0.7140264201491323,Voting,Voting,True,0.9893910431988774
3,1,3,2,3,3,0.0,True,False,0.3860778974849069,False,0.39166666666666666,True,0.5018020897272838,AdaBoost,AdaBoost,True,0.5018020897272838
4,8,0,0,7,4,0.972727273,True,True,0.6664890116954869,True,0.9,True,0.6172113870927773,Voting,Voting,True,0.6664890116954869
6,1,0,0,5,6,0.0,True,False,0.07886843905207334,False,0.35,False,0.18671533106488133,Voting,Voting,False,0.07886843905207334
3,1,3,5,3,3,0.0,True,True,0.6150009146972765,True,0.7,True,0.7994487991646102,Voting,Voting,True,0.6150009146972765
3,1,3,0,3,3,0.0,True,False,0.1455462552324808,False,0.0,False,0.29999999999999993,Voting,Voting,False,0.1455462552324808
