Project,VV,RF,AdaBoost,DSE,VVR,RFR,ADAR,DSER
ant-1.7.csv,0.819537216,0.799961504,0.82613355,0.828339264,0.82,0.8,0.83,0.83
arc.csv,0.753981034,0.713544462,0.728216139,0.754875649,0.75,0.71,0.73,0.75
camel-1.6.csv,0.696233468,0.69083217,0.715826008,0.724944549,0.7,0.69,0.72,0.72
e-learning.csv,0.857627119,0.8,0.761016949,0.857627119,0.86,0.8,0.76,0.86
intercafe.csv,0.891304348,0.815217391,0.739130435,0.902173913,0.89,0.82,0.74,0.9
ivy-2.0.csv,0.785416667,0.805128205,0.793790064,0.811939103,0.79,0.81,0.79,0.81
jedit-4.3.csv,0.833396333,0.742487242,0.763655264,0.831128331,0.83,0.74,0.76,0.83
kalkulator.csv,0.825396825,0.80952381,0.849206349,0.849206349,0.83,0.81,0.85,0.85
log4j-1.2.csv,0.74239418,0.65244709,0.643518519,0.743386243,0.74,0.65,0.64,0.74
lucene-2.4.csv,0.766926756,0.765848046,0.805220956,0.809895365,0.77,0.77,0.81,0.81
nieruchomosci.csv,0.882352941,0.870588235,0.861764706,0.894117647,0.88,0.87,0.86,0.89
pbeans2.csv,0.638461538,0.679487179,0.625641026,0.679487179,0.64,0.68,0.63,0.68
pdftranslator.csv,0.907407407,0.972222222,0.992592593,0.992592593,0.91,0.97,0.99,0.99
poi-2.5.csv,0.843624912,0.880798211,0.877766659,0.887759006,0.84,0.88,0.88,0.89
prop-6.csv,0.736417202,0.700145393,0.686447811,0.735728497,0.74,0.7,0.69,0.74
redaktor.csv,0.744966443,0.680338056,0.671638081,0.743475019,0.74,0.68,0.67,0.74
serapion.csv,0.882716049,0.816358025,0.859567901,0.87345679,0.88,0.82,0.86,0.87
skarbonka.csv,0.75617284,0.733024691,0.74691358,0.780864198,0.76,0.73,0.75,0.78
sklebagd.csv,0.854166667,0.90625,0.807291667,0.90625,0.85,0.91,0.81,0.91
synapse-1.2.csv,0.800205198,0.779582763,0.79630643,0.809712722,0.8,0.78,0.8,0.81
systemdata.csv,0.740079365,0.615079365,0.557539683,0.736111111,0.74,0.62,0.56,0.74
szybkafucha.csv,0.772727273,0.769480519,0.694805195,0.811688312,0.77,0.77,0.69,0.81
termoproject.csv,0.867374005,0.847480106,0.811671088,0.909814324,0.87,0.85,0.81,0.91
tomcat.csv,0.802367927,0.779204151,0.765685019,0.802617357,0.8,0.78,0.77,0.8
velocity-1.6.csv,0.796145356,0.756155544,0.766513839,0.802428256,0.8,0.76,0.77,0.8
workflow.csv,0.468421053,0.469736842,0.442105263,0.478947368,0.47,0.47,0.44,0.48
wspomaganiepi.csv,0.930555556,0.840277778,0.854166667,0.930555556,0.93,0.84,0.85,0.93
xalan-2.7.csv,0.943865155,0.848096781,0.893045151,0.944067625,0.94,0.85,0.89,0.94
xerces-1.4.csv,0.911012775,0.919309864,0.901283586,0.931304651,0.91,0.92,0.9,0.93
zuzel.csv,0.889423077,0.879807692,0.889423077,0.899038462,0.89,0.88,0.89,0.9
